# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# FHN      = Laagste uurgemiddelde windsnelheid (in 0.1 m/s); 
# FHNH     = Uurvak waarin FHN is gemeten; 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TNH      = Uurvak waarin TN is gemeten; 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# TXH      = Uurvak waarin TX is gemeten; 
# DR       = Duur van de neerslag (in 0.1 uur); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHX      = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHXH     = Uurvak waarin RHX is gemeten; 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   FG,  FHN, FHNH,   TG,   TN,  TNH,   TX,  TXH,   DR,   RH,  RHX, RHXH,   NG
# 
  344,20110707,   47,   10,   20,  182,  149,   24,  232,   13,    5,   10,   10,   24,    6
  344,20110708,   58,   30,    1,  177,  147,    4,  219,   16,    9,   16,   14,   21,    6
  344,20110709,   57,   30,    2,  170,  130,   23,  208,   15,   16,    5,    2,    7,    4
  344,20110710,   32,   10,   21,  170,  117,   24,  220,   13,    0,    0,    0,    1,    1
  344,20110711,   17,    0,    2,  178,  107,    4,  225,   11,    0,    0,    0,    1,    4
  344,20110712,   52,   10,    1,  179,  140,    1,  234,   11,   59,  120,   42,   20,    6
  344,20110713,   54,   30,   20,  143,  135,   20,  154,   10,   89,   65,   20,    5,    8
  344,20110714,   89,   30,    1,  136,  124,   19,  144,   24,  220,  753,   95,   11,    8
  344,20110715,   39,   10,   19,  175,  137,    6,  218,   16,    0,    0,    0,    1,    3
  344,20110716,   54,   20,    2,  165,  139,    2,  204,   10,   96,  168,   31,   16,    8
  344,20110717,   75,   50,    5,  158,  138,    2,  188,   16,   16,   24,    9,   21,    7
  344,20110718,   79,   60,   18,  151,  139,    6,  179,   18,   73,   88,   14,   11,    8
  344,20110719,   28,   10,   18,  161,  124,    5,  205,   13,    0,    0,    0,    1,    7
  344,20110720,   15,    0,    4,  165,  119,    4,  207,   11,    8,    9,    9,   14,    7
  344,20110721,   21,   10,    1,  164,  123,   24,  191,   14,   11,   12,    6,   17,    8
  344,20110722,   37,    0,    1,  148,  115,   24,  182,   14,   20,   16,    9,    2,    7
  344,20110723,   50,   30,    1,  135,  110,    4,  171,   11,   66,   88,   31,   23,    6
  344,20110724,   54,   20,   22,  123,   91,   23,  141,   19,  163,  299,   37,    3,    6
  344,20110725,   26,    0,    4,  148,   80,    5,  198,   12,    3,    1,    1,   19,    6
  344,20110726,   23,   10,    1,  154,  136,    1,  184,   15,   31,    7,    2,    6,    8
  344,20110727,   20,   10,    1,  172,  136,   24,  211,   17,    0,   -1,   -1,    6,    6
  344,20110728,   24,   10,    1,  181,  129,    1,  232,   17,   10,   12,    9,   15,    6
  344,20110729,   27,   10,    2,  151,  119,    4,  182,   11,   12,    4,    2,   23,    7
  344,20110730,   28,   10,    5,  144,  132,    4,  165,   13,    0,   -1,   -1,    1,    8
  344,20110731,   19,   10,    1,  152,  104,   24,  194,   16,    0,    0,    0,    1,    5
  344,20110801,   23,    0,    3,  163,   76,    5,  215,   16,    0,    0,    0,    1,    0
  344,20110802,   18,   10,    1,  204,  115,    3,  263,   15,    4,    2,    2,   20,    4
  344,20110803,   18,    0,   22,  187,  139,   24,  210,   13,   31,   12,    5,    6,    6
  344,20110804,   45,   10,    1,  192,  136,    1,  249,   13,   53,   38,   13,   19,    5
  344,20110805,   36,   10,   19,  185,  151,   22,  221,   14,    0,   -1,   -1,    3,    6
  344,20110806,   31,   20,    1,  181,  141,   20,  242,   13,   26,   43,   23,   19,    7
  344,20110807,   62,   30,   22,  167,  141,    2,  205,   13,    7,    2,    1,    7,    6
  344,20110808,   55,   20,    4,  157,  128,    2,  190,   13,   90,  177,   66,    2,    7
